nombre_entidad,CVE_ENT,nombre_municipio,CVE_MUN,sexo,grupo_edad,poblacion_total,total_limitacion,caminar_moverse,ver,escuchar,hablar,atender_cuidadop,poner_atencion,mental,sin_limitacion,no_especifica
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,05-09 años,13942,248,51,31,24,76,19,49,88,13566,128
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,10-14 años,14301,270,56,65,19,57,18,48,83,13906,125
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,15-19 años,16099,303,62,70,33,50,9,31,99,15681,115
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,20-24 años,16960,274,80,61,26,30,15,22,85,16582,104
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,25-29 años,15736,270,86,69,21,33,10,15,82,15355,111
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,30-34 años,14661,319,102,87,19,30,10,25,95,14233,109
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,35-39 años,15599,412,165,98,22,38,20,29,112,15091,96
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,40-44 años,14247,455,191,115,39,46,14,11,92,13702,90
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,45-49 años,12685,482,229,138,37,27,22,15,80,12139,64
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,50-54 años,11424,560,284,166,52,29,25,11,67,10796,68
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,55-59 años,9027,568,329,166,45,34,36,15,43,8416,43
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,60-64 años,7284,677,402,186,83,29,21,14,42,6565,42
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,65-69 años,5415,686,406,179,126,29,32,12,38,4698,31
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,70-74 años,4406,698,464,162,127,21,27,7,26,3685,23
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,75-79 años,3030,649,444,175,136,24,36,13,15,2361,20
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,80-84 años,1900,516,345,123,141,24,39,23,26,1373,11
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,85 años y más,1418,553,396,128,158,27,48,17,22,850,15
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,No especificado,4814,4,4,0,0,0,1,0,0,65,4745
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,Total,218658,9858,6197,2501,1105,532,601,347,960,202444,6356
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,00-04 años,12386,69,20,8,3,14,3,4,31,12146,171
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,05-09 años,13734,174,48,32,17,44,12,19,59,13398,162
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,10-14 años,13906,173,38,45,21,22,10,21,55,13639,94
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,15-19 años,15941,232,52,62,15,35,13,25,80,15594,115
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,20-24 años,17103,219,56,71,13,23,11,22,76,16768,116
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,25-29 años,16728,225,71,69,19,27,8,19,66,16396,107
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,30-34 años,16454,270,100,87,14,25,15,14,60,16065,119
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,35-39 años,17805,348,136,96,29,31,11,19,76,17346,111
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,40-44 años,16513,365,159,90,26,25,12,18,87,16025,123
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,45-49 años,15173,451,238,119,36,20,14,7,63,14610,112
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,50-54 años,14157,666,384,189,58,31,29,11,59,13401,90
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,55-59 años,10926,657,416,191,40,29,23,13,25,10199,70
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,60-64 años,9499,896,636,211,75,21,40,15,33,8546,57
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,65-69 años,7196,946,676,246,79,31,30,12,29,6204,46
