entidad_federativa,CVE_MUN,municipio,sexo,grupos_edad,poblacion,lengua_indigena,nolengua_indigena
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,30-34 años,347,0,342
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,35-39 años,374,2,370
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,40-44 años,356,0,355
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,45-49 años,288,0,287
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,50-54 años,285,1,283
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,55-59 años,250,0,249
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,60-64 años,180,1,178
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,65 años y más,545,2,542
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,03-04 años,94,0,88
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,05-09 años,231,0,229
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,10-14 años,241,0,240
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,15-19 años,249,0,248
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,20-24 años,175,0,174
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,25-29 años,141,0,140
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,30-34 años,155,0,153
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,35-39 años,179,0,177
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,40-44 años,181,0,180
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,45-49 años,147,0,147
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,50-54 años,130,1,128
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,55-59 años,128,0,127
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,60-64 años,91,0,91
30 Veracruz de Ignacio de la Llave,005,005 Acula,Hombres,65 años y más,276,2,273
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,03-04 años,77,0,76
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,05-09 años,225,0,225
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,10-14 años,216,0,216
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,15-19 años,224,1,223
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,20-24 años,178,1,174
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,25-29 años,187,0,186
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,30-34 años,192,0,189
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,35-39 años,195,2,193
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,40-44 años,175,0,175
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,45-49 años,141,0,140
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,50-54 años,155,0,155
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,55-59 años,122,0,122
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,60-64 años,89,1,87
30 Veracruz de Ignacio de la Llave,005,005 Acula,Mujeres,65 años y más,269,0,269
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,03-04 años,919,76,835
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,05-09 años,2509,268,2233
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,10-14 años,2384,295,2080
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,15-19 años,2334,307,2024
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,20-24 años,1880,302,1574
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,25-29 años,1633,302,1329
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,30-34 años,1427,276,1148
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,35-39 años,1340,277,1062
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,40-44 años,1081,256,823
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,45-49 años,869,177,692
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,50-54 años,705,164,541
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,55-59 años,580,149,430
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,60-64 años,470,107,363
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Total,65 años y más,1303,347,955
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,03-04 años,467,33,430
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,05-09 años,1266,125,1136
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,10-14 años,1189,156,1027
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,15-19 años,1146,163,981
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,20-24 años,895,146,748
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,25-29 años,772,151,620
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,30-34 años,699,134,565
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,35-39 años,681,139,542
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,40-44 años,487,111,376
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,45-49 años,423,85,338
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,50-54 años,311,72,239
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,55-59 años,280,77,203
